@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
1,0.561,0.919,5,-2.403,1,0.0404,0.0163,0.000017,0.416,0.269,126.99,266560,4,266.56,0,262.69896,-2.403,126.99,0.869,4,0.957,5,0.585,1,0.493
0,0.572,0.268,7,-11.462,0,0.0268,0.679,0.656,0.0907,0.319,144.081,195893,4,195.89333,0.36608,185.55646,-11.462,144.081,0.448,4,0.876,7,0.178,0,0.312
0,0.326,0.353,4,-10.192,1,0.0455,0.697,0.00000559,0.0769,0.341,140.884,205227,4,205.22667,0.20893,195.94159,-10.192,140.884,0.047,4,0.805,4,0.813,1,0.701
1,0.72,0.759,0,-7.774,1,0.0804,0.0371,0.0228,0.101,0.61,101.317,172559,4,172.55909,0.20313,162.89379,-7.774,101.317,0.56,4,1,0,0.668,1,0.522
1,0.481,0.965,8,-2.993,1,0.0875,0.000904,0.000727,0.476,0.66,155.938,264524,4,264.52385,0,260.35955,-2.993,155.938,0.696,4,1,8,0.444,1,0.441
1,0.845,0.73,5,-5.147,0,0.112,0.439,0,0.172,0.586,137.97,192707,4,192.70667,0.49333,176.93025,-5.147,137.97,0.447,4,1,5,0.146,0,0.289
0,0.756,0.422,11,-12.967,0,0.0292,0.0165,0.00183,0.0368,0.487,112.751,304133,4,304.13333,0.48762,294.71347,-12.967,112.751,0.888,4,0.918,11,0.604,0,0.451
1,0.663,0.72,3,-5.497,1,0.0331,0.00212,0,0.358,0.608,135.342,183493,4,183.49333,0.13927,166.62639,-5.497,135.342,0.889,4,1,3,1,1,0.751
1,0.907,0.665,6,-7.991,1,0.276,0.462,0.00134,0.133,0.816,90.473,244760,4,244.76,0.26766,236.82612,-7.991,90.473,0.341,4,1,6,0.008,1,0.15
1,0.673,0.653,6,-6.865,0,0.12,0.0187,0,0.246,0.834,146.102,271813,4,271.81333,0,265.36925,-6.865,146.102,0.597,4,1,6,0.115,0,0
0,0.374,0.185,2,-11.846,1,0.0366,0.89,0.000746,0.105,0.226,120.519,265293,4,265.29333,0.54259,251.36181,-11.846,120.519,0.013,4,0.566,2,0.647,1,0.831
0,0.434,0.286,6,-10.803,0,0.0296,0.533,0.000164,0.105,0.122,136.924,249400,3,249.4,0.32608,243.03746,-10.803,136.924,0.146,3,1,6,0.771,0,0.817
1,0.402,0.942,2,-4.948,1,0.0555,0.000593,0.00000812,0.118,0.547,131.07,229427,4,229.42667,0.34408,218.81905,-4.948,131.07,0.846,4,0.809,2,0.789,1,0.716
1,0.58,0.888,5,-6.959,0,0.061,0.0000358,0.462,0.359,0.372,115.001,292453,4,292.45333,4.1912,287.4224,-6.959,115.001,0.604,4,0.856,5,0.504,0,0.551
0,0.471,0.456,4,-10.395,0,0.0331,0.738,0.481,0.346,0.161,130.612,232707,3,232.70667,2.322,218.59846,-10.395,130.612,0.544,3,1,4,0.73,0,0.701
1,0.599,0.878,4,-7.759,1,0.0387,0.000259,0.0258,0.0829,0.814,144.029,222107,4,222.10667,3.6049,217.73351,-7.759,144.029,0.876,4,0.996,4,0.702,1,0.409
0,0.448,0.829,8,-5.058,1,0.0473,0.00306,0.00416,0.139,0.168,125.934,303587,4,303.58667,0.43361,291.69488,-5.058,125.934,0.5,4,0.973,8,0.398,1,0.38
1,0.703,0.624,6,-7.406,1,0.0356,0.00404,0.00000199,0.0496,0.881,129.987,189003,4,189.00322,0.26735,183.7337,-7.406,129.987,0.921,4,1,6,0.522,1,0.505
0,0.492,0.626,4,-8.26,1,0.0349,0.729,0.533,0.0509,0.524,86.016,370200,4,370.2,3.73261,356.08381,-8.26,86.016,0.43,4,1,4,0.58,1,0.527
1,0.666,0.761,4,-6.248,0,0.0302,0.178,0.0988,0.095,0.96,144.986,232933,4,232.93333,0.11011,227.76454,-6.248,144.986,0.896,4,1,4,0.753,0,0.625
1,0.537,0.955,2,-2.922,1,0.0777,0.000586,0,0.0504,0.618,134.061,167587,4,167.58667,2.05497,164.31601,-2.922,134.061,0.938,4,1,2,0.542,1,0.569
0,0.364,0.235,1,-11.183,1,0.0284,0.825,0.00261,0.108,0.162,72.265,224280,4,224.28,0,202.34449,-11.183,72.265,0.019,4,0.452,1,0.148,1,0.463
0,0.356,0.26,4,-10.577,0,0.0314,0.913,0.0000021,0.105,0.49,144.184,179107,4,179.10667,0.3542,171.5142,-10.577,144.184,0.059,4,1,4,0,0,0.135
0,0.701,0.42,6,-8.162,0,0.0242,0.191,0.0114,0.129,0.204,135.977,374200,4,374.2,0.61778,360.90195,-8.162,135.977,0.838,4,0.995,6,0.16,0,0.291
1,0.746,0.419,11,-6.602,1,0.0466,0.0426,0.0000825,0.119,0.225,131.958,238146,4,238.1459,0.23791,233.46503,-6.602,131.958,0.5,4,0.957,11,0.463,1,0.656
0,0.367,0.477,0,-8.973,1,0.0282,0.795,0.0287,0.217,0.228,73.84,200680,4,200.68,0.22626,180.73252,-8.973,73.84,0.111,4,0.762,0,0.543,1,0.556
1,0.636,0.946,10,-4.683,0,0.332,0.115,0.0000375,0.0416,0.891,125.085,238747,5,238.74667,0.48735,228.8907,-4.683,125.085,0.137,5,1,10,0.388,0,0.473
0,0.607,0.43,9,-6.778,1,0.0251,0.105,0,0.106,0.289,128.398,273173,4,273.17333,0.35683,257.95628,-6.778,128.398,0.458,4,1,9,0,1,0.33
1,0.642,0.958,5,-6.189,0,0.0813,0.08,0,0.31,0.774,122.644,252000,4,252,0.07533,252,-6.189,122.644,0.632,4,0.808,5,0.348,0,0.42
1,0.641,0.949,10,-3.81,0,0.0487,0.0512,0.00095,0.317,0.81,126.843,218560,4,218.56,0.43533,209.04345,-3.81,126.843,0.932,4,1,10,0.306,0,0.391
1,0.712,0.625,4,-5.619,0,0.197,0.264,0.00000586,0.0984,0.303,132.834,205160,4,205.16,0.19741,196.44082,-5.619,132.834,0.863,4,1,4,0.337,0,0.314
0,0.403,0.654,9,-6.002,0,0.0295,0.000431,0.0000408,0.166,0.197,74.617,354547,4,354.54667,0.12172,347.03964,-6.002,74.617,0.082,4,0.91,9,0.323,0,0.474
1,0.655,0.608,8,-12.111,0,0.0401,0.0836,0.794,0.111,0.608,108.106,412533,4,412.53333,0.22077,404.55546,-12.111,108.106,0.941,4,1,8,0.529,0,0.261
0,0.346,0.139,0,-15.326,1,0.0321,0.913,0.0000773,0.0934,0.116,136.168,217947,4,217.94667,0.57615,206.07129,-15.326,136.168,0.041,4,0.922,0,0.638,1,0.709
0,0.327,0.128,2,-17.536,0,0.0301,0.841,0.76,0.13,0.0648,58.993,287067,4,287.06667,3.11147,254.10177,-17.536,58.993,0.109,4,1,2,0.85,0,0.775
0,0.387,0.516,1,-10.105,1,0.0437,0.0622,0.000924,0.102,0.359,128.048,365933,4,365.93333,0.22095,354.3307,-10.105,128.048,0.182,4,0.96,1,0.862,1,0.645
0,0.436,0.38,2,-8.82,1,0.0345,0.336,0.00224,0.0885,0.103,123.888,404973,4,404.97333,0,359.49714,-8.82,123.888,0.262,4,0.984,2,0.605,1,0.694
0,0.571,0.0788,2,-15.284,1,0.0393,0.909,0.00921,0.0794,0.254,115.724,172253,4,172.25333,0.42431,165.78467,-15.284,115.724,0.088,4,0.923,2,0.656,1,0.572
0,0.467,0.794,2,-6.552,0,0.0524,0.015,0.0379,0.114,0.46,161.729,312627,4,312.62667,1.20132,310.39274,-6.552,161.729,0.048,4,1,2,0.559,0,0.626
1,0.335,0.862,6,-9.783,1,0.052,0.00651,0,0.151,0.829,105.866,116213,4,116.21333,1.26372,111.16553,-9.783,105.866,0.364,4,0.443,6,0.906,1,0.713
0,0.485,0.193,11,-16.985,0,0.0322,0.697,0.0262,0.135,0.079,79.926,373333,4,373.33333,0,351.74168,-16.985,79.926,0.183,4,0.759,11,0.221,0,0.419
0,0.404,0.599,2,-5.565,0,0.0289,0.00409,0.000252,0.113,0.195,136.045,271173,4,271.17333,0.14517,255.83166,-5.565,136.045,0.619,4,0.747,2,0.296,0,0.534
1,0.0926,0.515,2,-11.192,1,0.0447,0.273,0.983,0.13,0.0604,81.342,243432,4,243.43224,3.01859,237.43565,-11.192,81.342,0.024,4,0.959,2,0.357,1,0.648
1,0.374,0.55,8,-4.841,1,0.0331,0.0823,0.0134,0.128,0.348,115.911,223707,3,223.70667,0.32571,212.48,-4.841,115.911,0.027,3,1,8,0.322,1,0.18
0,0.324,0.0341,9,-16.7,0,0.0432,0.94,0.00000904,0.109,0.118,84.387,209600,1,209.6,0.40766,189.97986,-16.7,84.387,0.101,1,0.633,9,0.297,0,0.741
0,0.415,0.498,6,-8.162,1,0.0328,0.0792,0,0.118,0.278,178.266,279200,4,279.2,0,269.1541,-8.162,178.266,0.344,4,0.98,6,1,1,0.888
1,0.534,0.933,11,-3.282,1,0.366,0.0835,0,0.394,0.478,202.058,268867,4,268.86667,0,268.86667,-3.282,202.058,0.163,4,1,11,0.445,1,0.385
1,0.559,0.804,6,-6.429,0,0.226,0.0323,0,0.549,0.56,93.242,250200,4,250.2,0,250.2,-6.429,93.242,0.338,4,1,6,0.282,0,0.344
0,0.403,0.0308,4,-16.588,1,0.0406,0.954,0.000115,0.108,0.039,119.449,294933,5,294.93333,0.47143,279.52762,-16.588,119.449,0,5,0.887,4,0,1,0
0,0.547,0.397,2,-10.463,0,0.0271,0.387,0,0.14,0.277,134.346,288000,4,288,0.48785,268.13823,-10.463,134.346,0.232,4,1,2,0.195,0,0.618
1,0.598,0.982,1,-5.938,0,0.155,0.0591,0.0000737,0.349,0.502,105.209,261960,4,261.96,0,261.95999,-5.938,105.209,0.756,4,0.874,1,0.421,0,0.509
